"Group","Mouse","Tumor","ID","Day","Volume","death","last_day_obs","sac_day"
"JQ1","970","L","970:L",12,1343.949516,0,35,NA
"JQ1","935","R","935:R",12,553.016358306667,0,35,NA
"JQ1","935","L","935:L",12,671.317338816667,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",12,NA,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",12,NA,1,3,6
"JQ1","977","R","977:R",12,127.164483543333,0,19,22
"JQ1","977","L","977:L",12,2909.68215552,1,19,22
"JQ1","961","R","961:R",12,407.97710239,0,35,NA
"JQ1","961","L","961:L",12,56.1650544,0,35,NA
"JQ1","936","R","936:R",12,1080.60856784,1,19,22
"JQ1","936","L","936:L",12,923.9136,0,19,22
"JQ1","971","R","971:R",12,755.76725469,0,35,NA
"JQ1","971","L","971:L",12,241.513832666667,0,35,NA
"JQ1","952","R","952:R",12,2133.89777710667,1,19,22
"JQ1","952","L","952:L",12,3063.60266175,0,19,22
"JQ1","958","R","958:R",12,899.303522916667,0,35,NA
"JQ1","958","L","958:L",12,394.42941225,0,35,NA
"JQ1+ XRT","991","R","991:R",12,232.325954026667,0,35,NA
"JQ1+ XRT","991","L","991:L",12,20.3833728,0,35,NA
"JQ1+ XRT","965","R","965:R",12,602.46493125,0,35,NA
"JQ1+ XRT","965","L","965:L",12,491.76201441,0,35,NA
"JQ1+ XRT","956","R","956:R",12,466.017029333333,0,35,NA
"JQ1+ XRT","956","L","956:L",12,147.79861308,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",12,467.59015625,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",12,380.997081,0,35,NA
"JQ1+ XRT","954","R","954:R",12,478.6215964,0,35,NA
"JQ1+ XRT","954","L","954:L",12,144.90589122,0,35,NA
"JQ1+ XRT","999","R","999:R",12,690.807052963333,0,35,NA
"JQ1+ XRT","999","L","999:L",12,31.8971562,0,35,NA
"JQ1+ XRT","847","R","847:R",12,406.608648,0,19,22
"JQ1+ XRT","847","L","847:L",12,913.884228573333,1,19,22
"JQ1+ XRT","848","R","848:R",12,2218.62742773,1,19,22
"JQ1+ XRT","848","L","848:L",12,153.908565333333,0,19,22
"JQ1+ XRT","996","R","996:R",12,392.45747184,0,35,NA
"JQ1+ XRT","996","L","996:L",12,21.45117376,0,35,NA
"JQ1+ XRT","967","R","967:R",12,384.74852064,0,35,NA
"JQ1+ XRT","967","L","967:L",12,165.090262333333,0,35,NA
"JQ1","970","R","970:R",15,799.6327768,0,35,NA
"JQ1","970","L","970:L",15,697.062919446667,0,35,NA
"JQ1","935","R","935:R",15,822.891631813333,0,35,NA
"JQ1","935","L","935:L",15,1066.732732,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",15,NA,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",15,NA,1,3,6
"JQ1","977","R","977:R",15,246.14145372,0,19,22
"JQ1","977","L","977:L",15,3308.30361901333,1,19,22
"JQ1","961","R","961:R",15,447.36538956,0,35,NA
"JQ1","961","L","961:L",15,66.0931273333333,0,35,NA
"JQ1","936","R","936:R",15,1372.37034837,1,19,22
"JQ1","936","L","936:L",15,1177.00107964333,0,19,22
"JQ1","971","R","971:R",15,955.999057813333,0,35,NA
"JQ1","971","L","971:L",15,405.7888725,0,35,NA
"JQ1","952","R","952:R",15,3499.9616872,1,19,22
"JQ1","952","L","952:L",15,2851.03420735,0,19,22
"JQ1","958","R","958:R",15,981.48524409,0,35,NA
"JQ1","958","L","958:L",15,415.285141006667,0,35,NA
"JQ1+ XRT","991","R","991:R",15,303.71613419,0,35,NA
"JQ1+ XRT","991","L","991:L",15,22.05546048,0,35,NA
"JQ1+ XRT","965","R","965:R",15,473.323202266667,0,35,NA
"JQ1+ XRT","965","L","965:L",15,656.53632,0,35,NA
"JQ1+ XRT","956","R","956:R",15,348.55529808,0,35,NA
"JQ1+ XRT","956","L","956:L",15,161.83670528,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",15,361.723760476667,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",15,438.175922603333,0,35,NA
"JQ1+ XRT","954","R","954:R",15,689.93389851,0,35,NA
"JQ1+ XRT","954","L","954:L",15,194.61477906,0,35,NA
"JQ1+ XRT","999","R","999:R",15,1041.59432375,0,35,NA
"JQ1+ XRT","999","L","999:L",15,52.6547385,0,35,NA
"JQ1+ XRT","847","R","847:R",15,508.72405734,0,19,22
"JQ1+ XRT","847","L","847:L",15,1498.4089734,1,19,22
"JQ1+ XRT","848","R","848:R",15,2206.329321,1,19,22
"JQ1+ XRT","848","L","848:L",15,121.616277813333,0,19,22
"JQ1+ XRT","996","R","996:R",15,229.599612916667,0,35,NA
"JQ1+ XRT","996","L","996:L",15,41.7121231933333,0,35,NA
"JQ1+ XRT","967","R","967:R",15,357.9206715,0,35,NA
"JQ1+ XRT","967","L","967:L",15,144.575585723333,0,35,NA
"JQ1","970","R","970:R",19,1798.13140805333,0,35,NA
"JQ1","970","L","970:L",19,898.48695231,0,35,NA
"JQ1","935","R","935:R",19,1120.98129525,0,35,NA
"JQ1","935","L","935:L",19,1254.07622666667,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",19,NA,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",19,NA,1,3,6
"JQ1","977","R","977:R",19,523.27737801,0,19,22
"JQ1","977","L","977:L",19,5032.76097575333,1,19,22
"JQ1","961","R","961:R",19,667.32434892,0,35,NA
"JQ1","961","L","961:L",19,100.01055744,0,35,NA
"JQ1","936","R","936:R",19,1815.81267269333,1,19,22
"JQ1","936","L","936:L",19,1543.21487684,0,19,22
"JQ1","971","R","971:R",19,1815.48101909,0,35,NA
"JQ1","971","L","971:L",19,801.93362907,0,35,NA
"JQ1","952","R","952:R",19,5185.43203464,1,19,22
"JQ1","952","L","952:L",19,4753.81701225,0,19,22
"JQ1","958","R","958:R",19,1252.13943541667,0,35,NA
"JQ1","958","L","958:L",19,438.8494458,0,35,NA
"JQ1+ XRT","991","R","991:R",19,188.991366666667,0,35,NA
"JQ1+ XRT","991","L","991:L",19,23.32145196,0,35,NA
"JQ1+ XRT","965","R","965:R",19,352.215315573333,0,35,NA
"JQ1+ XRT","965","L","965:L",19,431.779175833333,0,35,NA
"JQ1+ XRT","956","R","956:R",19,626.29902432,0,35,NA
"JQ1+ XRT","956","L","956:L",19,132.692948093333,0,35,NA
"JQ1+ XRT","972(no tag)","R","972(no tag):R",19,388.76015952,0,35,NA
"JQ1+ XRT","972(no tag)","L","972(no tag):L",19,327.64702404,0,35,NA
"JQ1+ XRT","954","R","954:R",19,794.39280917,0,35,NA
"JQ1+ XRT","954","L","954:L",19,246.41556002,0,35,NA
"JQ1+ XRT","999","R","999:R",19,489.680320533333,0,35,NA
"JQ1+ XRT","999","L","999:L",19,74.18544532,0,35,NA
"JQ1+ XRT","847","R","847:R",19,434.853093486667,0,19,22
"JQ1+ XRT","847","L","847:L",19,1479.17385045333,1,19,22
"JQ1+ XRT","848","R","848:R",19,2117.79199438333,1,19,22
"JQ1+ XRT","848","L","848:L",19,125.553657786667,0,19,22
"JQ1+ XRT","996","R","996:R",19,222.841875,0,35,NA
"JQ1+ XRT","996","L","996:L",19,34.8798652266667,0,35,NA
"JQ1+ XRT","967","R","967:R",19,292.44457824,0,35,NA
"JQ1+ XRT","967","L","967:L",19,168.00034944,0,35,NA
"JQ1","970","R","970:R",22,2308.97540133,0,35,NA
"JQ1","970","L","970:L",22,1034.0064274,0,35,NA
"JQ1","935","R","935:R",22,1627.37866858667,0,35,NA
"JQ1","935","L","935:L",22,1603.77210672,0,35,NA
"JQ1","934 (dead)","R","934 (dead):R",22,NA,0,3,6
"JQ1","934 (dead)","L","934 (dead):L",22,NA,1,3,6
"JQ1","977","R","977:R",22,NA,0,19,22
"JQ1","977","L","977:L",22,NA,1,19,22
"JQ1","961","R","961:R",22,759.553780166667,0,35,NA
"JQ1","961","L","961:L",22,176.01588396,0,35,NA
